identifier,Unnamed: 0,Debt Category,Amount Outstanding in-USD,Amount Outstanding in-NGN,Unnamed: 3,Amount Outstanding-in NGN,Amount Outstanding in NGN,Unnamed: 1,Amount Outstanding,Unnamed: 4,Amount Outstanding.1,Unnamed: 6,Unnamed: 0.1,Amount Outstanding (US$-M),Amount Outstanding (N-M),Amount Outstanding-(US$-M),Amount Outstanding-(N-M),% of Total,Unnamed: 5,Unnamed: 2,Amount-Outstanding,Unnamed: 8,Unnamed: 10,Amount-Outstanding-(N-M),filename,debt_cat,amt_in_USD_inM,amt_in_NGN_inM
1,0,A.,External Debt Stock (FGN + States),11261.89,3187114.87,,,,,,,,,,,,,,,,,,,,1538.csv,External Debt Stock (FGN + States),,
2,1,,Domestic Debt Stock (FGN Only),37478.21,10606334.22,,,,,,,,,,,,,,,,,,,,1538.csv,,,
3,2,,Sub-Total,48740.10,13793449.09,,,,,,,,,,,,,,,,,,,,1538.csv,,,
4,3,B.,,,,,,,,,,,,,,,,,,,,,,,1538.csv,,,
5,4,,Domestic Debt of States*,12706.91,2503260.42,,,,,,,,,,,,,,,,,,,,1538.csv,,,
6,5,C.,,,,,,,,,,,,,,,,,,,,,,,1538.csv,,,
7,6,Grand-Total (A+B),61447.01,16296709.51,,,,,,,,,,,,,,,,,,,,,1538.csv,Grand-Total (A+B),61447.01,16296709.51
8,0,A.,External Debt Stock (FGN + States),11194.65,2205346.05,,,,,,,,,,,,,,,,,,,,1539.csv,External Debt Stock (FGN + States),,
9,1,,Domestic Debt Stock (FGN Only),50609.41,9970053.22,,,,,,,,,,,,,,,,,,,,1539.csv,,,
10,2,,Sub-Total,61804.06,12175399.27,,,,,,,,,,,,,,,,,,,,1539.csv,,,
11,3,B.,,,,,,,,,,,,,,,,,,,,,,,1539.csv,,,
12,4,,Domestic Debt of States*,9852.25,1655178.71,,,,,,,,,,,,,,,,,,,,1539.csv,,,
13,5,C.,,,,,,,,,,,,,,,,,,,,,,,1539.csv,,,
14,6,Grand-Total (A+B),71656.31,13830577.98,,,,,,,,,,,,,,,,,,,,,1539.csv,Grand-Total (A+B),71656.31,13830577.98
15,0,A.,External Debt Stock (FGN + States),11582.59,3535585.60,,,,,,,,,,,,,,,,,,,,1973.csv,External Debt Stock (FGN + States),,
16,1,,Domestic Debt Stock (FGN Only),35528.97,10845218.31,,,,,,,,,,,,,,,,,,,,1973.csv,,,
17,2,,Sub-Total,47111.56,14380803.91,,,,,,,,,,,,,,,,,,,,1973.csv,,,
18,3,B.,,,,,,,,,,,,,,,,,,,,,,,1973.csv,,,
19,4,,Domestic Debt of States*,12706.91,2503260.42,,,,,,,,,,,,,,,,,,,,1973.csv,,,
20,5,C.,,,,,,,,,,,,,,,,,,,,,,,1973.csv,,,
21,6,Grand-Total (A+B),59818.47,16884064.33,,,,,,,,,,,,,,,,,,,,,1973.csv,Grand-Total (A+B),59818.47,16884064.33
22,0,A.,External Debt Stock (FGN + States),11406.28,3478915.40,,,,,,,,,,,,,,,,,,,,1974.csv,External Debt Stock (FGN + States),,
23,1,,Domestic Debt Stock (FGN Only),36256.41,11058204.30,,,,,,,,,,,,,,,,,,,,1974.csv,,,
24,2,,Sub-Total,47662.69,14537119.70,,,,,,,,,,,,,,,,,,,,1974.csv,,,
25,3,B.,,,,,,,,,,,,,,,,,,,,,,,1974.csv,,,
26,4,,Domestic Debt of States*,9728.84,2822889.88,,,,,,,,,,,,,,,,,,,,1974.csv,,,
27,5,C.,,,,,,,,,,,,,,,,,,,,,,,1974.csv,,,
28,6,Grand-Total (A+B),57391.53,17360009.58,,,,,,,,,,,,,,,,,,,,,1974.csv,Grand-Total (A+B),57391.53,17360009.58
29,0,A.,External Debt Stock (FGN + States),13807.59,4229955.20,,,,,,,,,,,,,,,,,,,,2075.csv,External Debt Stock (FGN + States),,
30,1,,Domestic Debt Stock (FGN Only),39077.32,11971336.53,,,,,,,,,,,,,,,,,,,,2075.csv,,,
31,2,,Sub-Total,52884.91,16201291.73,,,,,,,,,,,,,,,,,,,,2075.csv,,,
32,3,B.,,,,,,,,,,,,,,,,,,,,,,,2075.csv,,,
33,4,,Domestic Debt of States*,9985.16,2958517.43,,,,,,,,,,,,,,,,,,,,2075.csv,,,
34,5,C.,,,,,,,,,,,,,,,,,,,,,,,2075.csv,,,
35,6,Grand-Total (A+B),62870.07,19159809.16,,,,,,,,,,,,,,,,,,,,,2075.csv,Grand-Total (A+B),62870.07,19159809.16
36,0,,,,,,,,,,,,,,,,,,,,,,,,2170.csv,,,
37,1,A,External Debt Stock (FGN + States),15047.00,4602877.30,,,,,,,,,,,,,,,,,,,,2170.csv,External Debt Stock (FGN + States),,
38,2,,Domestic Debt Stock (FGN only),39337.86,12033450.02,,,,,,,,,,,,,,,,,,,,2170.csv,,,
39,3,,Sub-Total,54384.86,16636327.32,,,,,,,,,,,,,,,,,,,,2170.csv,,,
40,4,B,Domestic Debt of States,9809.27,3000655.34,,,,,,,,,,,,,,,,,,,,2170.csv,Domestic Debt of States,,
41,5,C,Grand Total,64194.13,19636982.66,,,,,,,,,,,,,,,,,,,,2170.csv,Grand Total,,
42,0,A.,External Debt Stock (FGN + States),,4693913.75,15352.13,,,,,,,,,,,,,,,,,,,2255.csv,External Debt Stock (FGN + States),,
43,1,,Domestic Debt Stock (FGN Only),,12495784.04,40869.29,,,,,,,,,,,,,,,,,,,2255.csv,,,
44,2,,Sub-Total,,17189697.78,56221.42,,,,,,,,,,,,,,,,,,,2255.csv,,,
45,3,B.,,,,,,,,,,,,,,,,,,,,,,,2255.csv,,,
46,4,,Domestic Debt of States*,,3183730.80,10412.86,,,,,,,,,,,,,,,,,,,2255.csv,,,
47,5,C.,,,,,,,,,,,,,,,,,,,,,,,2255.csv,,,
48,6,Grand-Total (A+B),66634.27,,,20373428.59,,,,,,,,,,,,,,,,,,,2255.csv,Grand-Total (A+B),66634.27,20373428.59
49,0,A.,External Debt Stock (FGN + States),,5787512.64,,18913.44,,,,,,,,,,,,,,,,,,2380.csv,External Debt Stock (FGN + States),,
50,1,,Domestic Debt Stock (FGN Only),,12589486.13,,41142.11,,,,,,,,,,,,,,,,,,2380.csv,,,
51,2,,Sub-Total,,18376998.77,,60055.55,,,,,,,,,,,,,,,,,,2380.csv,,,
52,3,B.,,,,,,,,,,,,,,,,,,,,,,,2380.csv,,,
53,4,,Domestic Debt of States*,,3348774.26,,10943.71,,,,,,,,,,,,,,,,,,2380.csv,,,
54,5,C.,,,,,,,,,,,,,,,,,,,,,,,2380.csv,,,
55,6,Grand-Total (A+B),70999.26,,,,21725773.03,,,,,,,,,,,,,,,,,,2380.csv,Grand-Total (A+B),70999.26,21725773.03
56,0,Debt Category,,,,,,in USD,in NGN,,,,,,,,,,,,,,,,2470.csv,,,
57,1,A.   External Debt (FGN +State & FCT Only),,,,,,,,,,,,,,,,,,,,,,,2470.csv,A.   External Debt (FGN +State & FCT Only),,
58,2,.   External Debt (FGN +State & FCT Only),,,,,,22071.91,6746279.2,,,,,,,,,,,,,,,,2470.csv,.   External Debt (FGN +State & FCT Only),,
59,3,B.   Domestic Debt (FGN Only),,,,,,41147.58,12576758.18,,,,,,,,,,,,,,,,2470.csv,B.   Domestic Debt (FGN Only),,
60,4,C.   Domestic Debt (States + FCT) *,,,,,,,,,,,,,,,,,,,,,,,2470.csv,C.   Domestic Debt (States + FCT) *,,
61,5,.   Domestic Debt (States + FCT) *,,,,,,11059.37,3384166.3,,,,,,,,,,,,,,,,2470.csv,.   Domestic Debt (States + FCT) *,,
62,6,D.  Sub-Total  Domestic Debt (FGN + States & FCT),,,,,,52206.95,15960924.50,,,,,,,,,,,,,,,,2470.csv,D.  Sub-Total  Domestic Debt (FGN + States & FCT),,
63,7,E. Total (A+D),,,,,,,,,,,,,,,,,,,,,,,2470.csv,E. Total (A+D),,
64,8,. Total (A+D),,,,,,74278.86,22707203.7,,,,,,,,,,,,,,,,2470.csv,. Total (A+D),,
65,9,Debt Category,,,,,,,,,,,,,,,,,,,,,,,2470.csv,,,
66,10,Debt Category,,,,,,,,,,,,,,,,,,,,,,,2470.csv,,,
67,11,A.   External Debt (FGN +State & FCT Only),,,,,,,,,,,,,,,,,,,,,,,2470.csv,A.   External Debt (FGN +State & FCT Only),,
68,12,.   External Debt (FGN +State & FCT Only),,,,,,,,,,,,,,,,,,,,,,,2470.csv,.   External Debt (FGN +State & FCT Only),,
69,13,C.   Domestic Debt (States + FCT) *,,,,,,,,,,,,,,,,,,,,,,,2470.csv,C.   Domestic Debt (States + FCT) *,,
70,14,.   Domestic Debt (States + FCT) *,,,,,,,,,,,,,,,,,,,,,,,2470.csv,.   Domestic Debt (States + FCT) *,,
71,0,Debt Category,,,,,,,,,,,,,,,,,,,,,,,2529.csv,,,
72,1,A.   External Debt (FGN +States + FCT ),,,,,,,,,,,,,,,,,,,,,,,2529.csv,A.   External Debt (FGN +States + FCT ),,
73,2,.   External Debt (FGN +States + FCT ),,,,,,,,,,,,,,,,,,,,,,,2529.csv,.   External Debt (FGN +States + FCT ),,
74,3,C.   Domestic Debt (States + FCT),,,,,,,,,,,,,,,,,,,,,,,2529.csv,C.   Domestic Debt (States + FCT),,
75,4,.   Domestic Debt (States + FCT),,,,,,,,,,,,,,,,,,,,,,,2529.csv,.   Domestic Debt (States + FCT),,
76,0,Debt Category,,,,,,,,,,,,,,,,,,,,,,,2663.csv,,,
77,1,C.   Domestic Debt (States + FCT),,,,,,,,,,,,,,,,,,,,,,,2663.csv,C.   Domestic Debt (States + FCT),,
78,2,.   Domestic Debt (States + FCT),,,,,,,,,,,,,,,,,,,,,,,2663.csv,.   Domestic Debt (States + FCT),,
79,0,Total External Debt,,,,,,,,,,,A.,25274.36,7759229.99,,,,,,,,,,2765.csv,Total External Debt,,
80,1,FGN only,,,,,,,,,,,,21043.65,6460399.86,,,,,,,,,,2765.csv,,,
81,2,States & FCT,,,,,,,,,,,,4230.72,1298830.13,,,,,,,,,,2765.csv,,,
82,3,Total Domestic Debt,,,,,,,,,,,B.,54162.35,16627841.75,,,,,,,,,,2765.csv,Total Domestic Debt,,
83,4,FGN Only,,,,,,,,,,,,41610.44,12774405.70,,,,,,,,,,2765.csv,,,
84,5,States & FCT,,,,,,,,,,,,12551.91,3853436.05,,,,,,,,,,2765.csv,,,
85,6,Total Public Debt(A+B),,,,,,,,,,,c.,79436.72,24387071.74,,,,,,,,,,2765.csv,Total Public Debt(A+B),,
86,0,,,,,,,,,,,,,,,,,,,,,,,,2849.csv,,,
87,1,,,,,,,,,,,,,,,,,,,,,,,,2849.csv,,,
88,2,,,,,,,,,,,,Debt Category,,,,,,,,,,,,2849.csv,,,
89,3,,,,,,,,,,,,ebt Category,,,,,,,,,,,,2849.csv,,,
90,4,,,,,,,,,,,,% of Total,,,,,,,,,,,,2849.csv,,,
91,5,,,,,,,,,,,,% of Total,,,,,,,,,,,,2849.csv,,,
92,6,,,,,,,,,,,,A.,,,,,,,,,,,,2849.csv,,,
93,7,,,,,,,,,,,,A.,,,,,,,,,,,,2849.csv,,,
94,8,,,,,,,,,,,,Total External Debt,,,,,,,,,,,,2849.csv,,,
95,9,,,,,,,,,,,,otal External Debt,,,,,,,,,,,,2849.csv,,,
96,10,,,,,,,,,,,,25609.63,,,,,,,,,,,,2849.csv,,,
97,11,,,,,,,,,,,,25609.63,,,,,,,,,,,,2849.csv,,,
98,12,,,,,,,,,,,,7860875.93,,,,,,,,,,,,2849.csv,,,
99,13,,,,,,,,,,,,7860875.93,,,,,,,,,,,,2849.csv,,,
100,14,,,,,,,,,,,,31.51%,,,,,,,,,,,,2849.csv,,,
101,15,,,,,,,,,,,,31.51%,,,,,,,,,,,,2849.csv,,,
102,16,,,,,,,,,,,,,,,,,,,,,,,,2849.csv,,,
103,17,,,,,,,,,,,,,,,,,,,,,,,,2849.csv,,,
104,18,,,,,,,,,,,,FGN + States & FCT only,,,,,,,,,,,,2849.csv,,,
105,19,,,,,,,,,,,,FGN + States & FCT only,,,,,,,,,,,,2849.csv,,,
106,20,,,,,,,,,,,,25609.63,,,,,,,,,,,,2849.csv,,,
107,21,,,,,,,,,,,,25609.63,,,,,,,,,,,,2849.csv,,,
108,22,,,,,,,,,,,,7860875.93,,,,,,,,,,,,2849.csv,,,
109,23,,,,,,,,,,,,7860875.93,,,,,,,,,,,,2849.csv,,,
110,24,,,,,,,,,,,,31.51%,,,,,,,,,,,,2849.csv,,,
111,25,,,,,,,,,,,,31.51%,,,,,,,,,,,,2849.csv,,,
112,26,,,,,,,,,,,,B.,,,,,,,,,,,,2849.csv,,,
113,27,,,,,,,,,,,,B.,,,,,,,,,,,,2849.csv,,,
114,28,,,,,,,,,,,,Total Domestic Debt,,,,,,,,,,,,2849.csv,,,
115,29,,,,,,,,,,,,otal Domestic Debt,,,,,,,,,,,,2849.csv,,,
116,30,,,,,,,,,,,,55664.46,,,,,,,,,,,,2849.csv,,,
117,31,,,,,,,,,,,,55664.46,,,,,,,,,,,,2849.csv,,,
118,32,,,,,,,,,,,,17086204.66,,,,,,,,,,,,2849.csv,,,
119,33,,,,,,,,,,,,17086204.66,,,,,,,,,,,,2849.csv,,,
120,34,,,,,,,,,,,,68.49%,,,,,,,,,,,,2849.csv,,,
121,35,,,,,,,,,,,,68.49%,,,,,,,,,,,,2849.csv,,,
122,36,,,,,,,,,,,,c.,,,,,,,,,,,,2849.csv,,,
123,37,,,,,,,,,,,,c.,,,,,,,,,,,,2849.csv,,,
124,38,,,,,,,,,,,,Total Public Debt(A+B),,,,,,,,,,,,2849.csv,,,
125,39,,,,,,,,,,,,otal Public Debt(A+B),,,,,,,,,,,,2849.csv,,,
126,40,,,,,,,,,,,,81274.09,,,,,,,,,,,,2849.csv,,,
127,41,,,,,,,,,,,,81274.09,,,,,,,,,,,,2849.csv,,,
128,42,,,,,,,,,,,,24947080.59,,,,,,,,,,,,2849.csv,,,
129,43,,,,,,,,,,,,24947080.59,,,,,,,,,,,,2849.csv,,,
130,44,,,,,,,,,,,,100%,,,,,,,,,,,,2849.csv,,,
131,45,,,,,,,,,,,,100%,,,,,,,,,,,,2849.csv,,,
132,0,Total External Debt,,,,,,A.,,,,,,,,27162.63,8322629.83,32.38%,,,,,,,2950.csv,Total External Debt,,
133,1,FGN Only,,,,,,,,,,,,,,22887.96,7012870.94,27.29%,,,,,,,2950.csv,,,
134,2,States & FCT,,,,,,,,,,,,,,4274.67,1309758.89,5.10%,,,,,,,2950.csv,,,
135,3,Total Domestic Debt,,,,,,B.,,,,,,,,56720.03,17379015.91,67.62%,,,,,,,2950.csv,Total Domestic Debt,,
136,4,FGN Only,,,,,,,,,,,,,,43775.44,13412796.09,52.19%,,,,,,,2950.csv,,,
137,5,States & FCT,,,,,,,,,,,,,,12944.58,3966219.82,15.43%,,,,,,,2950.csv,,,
138,6,Total Public Debt(A+B),,,,,,C.,,,,,,,,83882.66,25701645.74,100%,,,,,,,2950.csv,Total Public Debt(A+B),,
139,0,"Total External Debt(FGN + States & FCT)",,,,,,,,,,,A.,,,26941.50,8271040.50,31.55%,,,,,,,3043.csv,"Total External Debt(FGN + States & FCT)",,
140,1,Total Domestic Debt,,,,,,,,,,,B.,,,58449.32,17943940.63,68.45%,,,,,,,3043.csv,Total Domestic Debt,,
141,2,FGN Only,,,,,,,,,,,,,,45281.91,13901546.03,53.03%,,,,,,,3043.csv,,,
142,3,States & FCT,,,,,,,,,,,,,,13167.41,4042394.60,15.42%,,,,,,,3043.csv,,,
143,4,Total Public Debt(A+B),,,,,,,,,,,C.,,,85390.82,26214981.13,100%,,,,,,,3043.csv,Total Public Debt(A+B),,
144,0,Total External Debt,,,,,,A.,,,,,,,,27676.14,,32.93%,,,9022421.64,,,,3123.csv,Total External Debt,,
145,1,FGN Only,,,,,,,,,,,,,,23111.27,,27.50%,,,7534274.02,,,,3123.csv,,,
146,2,States & FCT,,,,,,,,,,,,,,4564.87,,5.43%,,,1488147.62,,,,3123.csv,,,
147,3,Total Domestic Debt,,,,,,B.,,,,,,,,56377.18,,67.07%,,,18378959.65,,,,3123.csv,Total Domestic Debt,,
148,4,FGN Only,,,,,,,,,,,,,,43781.12,,52.09%,,,14272644.79,,,,3123.csv,,,
149,5,States & FCT,,,,,,,,,,,,,,12596.06,,14.99%,,,4106314.86,,,,3123.csv,,,
150,6,Total Public Debt(A+B),,,,,,C.,,,,,,,,84053.32,,100%,,,27401381.29,,,,3123.csv,Total Public Debt(A+B),,
151,0,Total External Debt,,,,,,,,,,,A.,,,27665.66,9987303.26,34.89%,,,,,,,3235.csv,Total External Debt,,
152,1,Total Domestic Debt,,,,,,,,,,,B.,,,51637.65,18641190.37,65.11%,,,,,,,3235.csv,Total Domestic Debt,,
153,2,FGN Only,,,,,,,,,,,,,,40262.46,14534746.84,50.77%,,,,,,,3235.csv,,,
154,3,States & FCT,,,,,,,,,,,,,,11375.19,4106443.53,14.34%,,,,,,,3235.csv,,,
155,4,Total Public Debt(A+B),,,,,,,,,,,C.,,,79303.31,28628493.63,100.00%,,,,,,,3235.csv,Total Public Debt(A+B),,
156,0,Total External Debt,,,,,,A.,,,,,,,,31477.13,,36.65%,,,,,,11363243.93,3305.csv,Total External Debt,,
157,1,FGN Only,,,,,,,,,,,,,,27214.08,,31.68%,,,,,,9824282.88,3305.csv,,,
158,2,States & FCT,,,,,,,,,,,,,,4263.05,,4.96%,,,,,,1538961.05,3305.csv,,,
159,3,Total Domestic Debt,,,,,,B.,,,,,,,,54419.39,,63.35%,,,,,,19645398.21,3305.csv,Total Domestic Debt,,
160,4,FGN Only,,,,,,c.,,,,,,,,42813.57,,49.84%,,,,,,15455699.13,3305.csv,,,
161,5,States & FCT,,,,,,D.,,,,,,,,11605.81,,13.51%,,,,,,4189699.08,3305.csv,,,
162,6,Total Public Debt(A+B),,,,,,E.,,,,,,,,85896.52,,100%,,,,,,31008642.14,3305.csv,Total Public Debt(A+B),,
163,0,External Debt Stock (FGN + States),6920.10,,,1077805.58,,,,,,,,,,,,,,,,,,,49.csv,External Debt Stock (FGN + States),,
164,1,Domestic Debt Stock (FGN Only),43985.55,,,6850748.74,,,,,,,,,,,,,,,,,,,49.csv,Domestic Debt Stock (FGN Only),,
165,2,Total,50905.65,,,7928554.31,,,,,,,,,,,,,,,,,,,49.csv,50905.65,,
166,0,A.,External Debt Stock (FGN + States),,1460297.92,9377.11,,,,,,,,,,,,,,,,,,,50.csv,External Debt Stock (FGN + States),,
167,1,,Domestic Debt Stock (FGN Only),,7421097.30,47653.61,,,,,,,,,,,,,,,,,,,50.csv,,,
168,2,,Sub-Total,,8881395.22,57030.73,,,,,,,,,,,,,,,,,,,50.csv,,,
169,3,B.,,,,,,,,,,,,,,,,,,,,,,,50.csv,,,
170,4,,Domestic Debt of States*,,1551650.13,9963.72,,,,,,,,,,,,,,,,,,,50.csv,,,
171,5,C.,,,,,,,,,,,,,,,,,,,,,,,50.csv,,,
172,6,Grand-Total (A+B),66994.45,,,10433045.35,,,,,,,,,,,,,,,,,,,50.csv,Grand-Total (A+B),66994.45,10433045.35
173,0,External Debt Stock (FGN + States),8264.34,,,1287170.96,,,,,,,,,,,,,,,,,,,51.csv,External Debt Stock (FGN + States),,
174,1,Domestic Debt Stock (FGN Only),45154.95,,,7032883.32,,,,,,,,,,,,,,,,,,,51.csv,Domestic Debt Stock (FGN Only),,
175,2,Total,53419.29,,,8320054.28,,,,,,,,,,,,,,,,,,,51.csv,53419.29,,
176,0,A.,External Debt Stock (FGN + States),,1427515.95,9166.02,,,,,,,,,,,,,,,,,,,52.csv,External Debt Stock (FGN + States),,
177,1,,Domestic Debt Stock (FGN Only),,7183176.75,46122.88,,,,,,,,,,,,,,,,,,,52.csv,,,
178,2,,Sub-Total,,8610692.70,55288.90,,,,,,,,,,,,,,,,,,,52.csv,,,
179,3,B.,,,,,,,,,,,,,,,,,,,,,,,52.csv,,,
180,4,,Domestic Debt of States*,,1551650.13,9963.08,,,,,,,,,,,,,,,,,,,52.csv,,,
181,5,C.,,,,,,,,,,,,,,,,,,,,,,,52.csv,,,
182,6,Grand-Total (A+B),65251.98,,,10162342.83,,,,,,,,,,,,,,,,,,,52.csv,Grand-Total (A+B),65251.98,10162342.83
183,0,External Debt Stock,6527.07,,,1016721.69,,,,,,,,,,,,,,,,,,,53.csv,External Debt Stock,,
184,1,Domestic Debt Stock,41969.16,,,6537536.31,,,,,,,,,,,,,,,,,,,53.csv,Domestic Debt Stock,,
185,2,Total,48496.23,,,7554258.00,,,,,,,,,,,,,,,,,,,53.csv,48496.23,,
186,0,A.,External Debt Stock (FGN + States),,2031897.80,,10316.82,,,,,,,,,,,,,,,,,,54.csv,External Debt Stock (FGN + States),,
187,1,,Domestic Debt Stock (FGN Only),,8396591.57,,42633.11,,,,,,,,,,,,,,,,,,54.csv,,,
188,2,,Sub-Total,,10428489.36,,52949.93,,,,,,,,,,,,,,,,,,54.csv,,,
189,3,B.,,,,,,,,,,,,,,,,,,,,,,,54.csv,,,
190,4,,Domestic Debt of States*,,1690360.09,,10856.52,,,,,,,,,,,,,,,,,,54.csv,,,
191,5,C.,,,,,,,,,,,,,,,,,,,,,,,54.csv,,,
192,6,Grand-Total (A+B),63806.45,,,,12118849.45,,,,,,,,,,,,,,,,,,54.csv,Grand-Total (A+B),63806.45,12118849.45
193,0,A.,External Debt Stock (FGN + States),9518.95,1482576.46,,,,,,,,,,,,,,,,,,,,55.csv,External Debt Stock (FGN + States),,
194,1,,Domestic Debt Stock (FGN Only),49124.23,7651098.82,,,,,,,,,,,,,,,,,,,,55.csv,,,
195,2,,Sub-Total,58643.18,9133675.28,,,,,,,,,,,,,,,,,,,,55.csv,,,
196,3,B.,,,,,,,,,,,,,,,,,,,,,,,55.csv,,,
197,4,,Domestic Debt of States*,10967.06,1707571.14,,,,,,,,,,,,,,,,,,,,55.csv,,,
198,5,C.,,,,,,,,,,,,,,,,,,,,,,,55.csv,,,
199,6,Grand-Total (A+B),69610.24,10841246.42,,,,,,,,,,,,,,,,,,,,,55.csv,Grand-Total (A+B),69610.24,10841246.42
200,0,A.,External Debt Stock (FGN + States),10617.35,2091087.08,,,,,,,,,,,,,,,,,,,,56.csv,External Debt Stock (FGN + States),,
201,1,,Domestic Debt Stock (FGN Only),43727.99,8612228.36,,,,,,,,,,,,,,,,,,,,56.csv,,,
202,2,,Sub-Total,54345.34,10703315.44,,,,,,,,,,,,,,,,,,,,56.csv,,,
203,3,B.,,,,,,,,,,,,,,,,,,,,,,,56.csv,,,
204,4,,Domestic Debt of States*,9852.25,1655178.71,,,,,,,,,,,,,,,,,,,,56.csv,,,
205,5,C.,,,,,,,,,,,,,,,,,,,,,,,56.csv,,,
206,6,Grand-Total (A+B),64197.60,12358494.15,,,,,,,,,,,,,,,,,,,,,56.csv,Grand-Total (A+B),64197.60,12358494.15
207,0,External Debt Stock,6670.72,1038964.64,,,,,,,,,,,,,,,,,,,,,57.csv,External Debt Stock,,
208,1,Domestic Debt Stock,41690.65,6493318.88,,,,,,,,,,,,,,,,,,,,,57.csv,Domestic Debt Stock,,
209,2,Total,48361.37,7532283.52,,,,,,,,,,,,,,,,,,,,,57.csv,48361.37,,
210,0,A.,External Debt Stock (FGN + States),9711.45,1631523.60,,,,,,,,,,,,,,,,,,,,58.csv,External Debt Stock (FGN + States),,
211,1,,Domestic Debt Stock (FGN Only),47047.77,7904025.47,,,,,,,,,,,,,,,,,,,,58.csv,,,
212,2,,Sub-Total,56759.22,9535549.07,,,,,,,,,,,,,,,,,,,,58.csv,,,
213,3,B.,,,,,,,,,,,,,,,,,,,,,,,58.csv,,,
214,4,,Domestic Debt of States,10967.06,1707571.14,,,,,,,,,,,,,,,,,,,,58.csv,,,
215,5,C.,,,,,,,,,,,,,,,,,,,,,,,58.csv,,,
216,6,Grand-Total (A+B),67726.28,11243120.22,,,,,,,,,,,,,,,,,,,,,58.csv,Grand-Total (A+B),67726.28,11243120.22
217,0,A.,External Debt Stock (FGN + States),9711.45,1631523.60,,,,,,,,,,,,,,,,,,,,59.csv,External Debt Stock (FGN + States),,
218,1,,Domestic Debt Stock (FGN Only),47047.77,7904025.47,,,,,,,,,,,,,,,,,,,,59.csv,,,
219,2,,Sub-Total,56759.22,9535549.07,,,,,,,,,,,,,,,,,,,,59.csv,,,
220,3,B.,,,,,,,,,,,,,,,,,,,,,,,59.csv,,,
221,4,,Domestic Debt of States,10967.06,1707571.14,,,,,,,,,,,,,,,,,,,,59.csv,,,
222,5,C.,,,,,,,,,,,,,,,,,,,,,,,59.csv,,,
223,6,Grand-Total (A+B),67726.28,11243120.22,,,,,,,,,,,,,,,,,,,,,59.csv,Grand-Total (A+B),67726.28,11243120.22
224,0,A.,External Debt Stock (FGN + States),10718.43,2111530.71,,,,,,,,,,,,,,,,,,,,60.csv,External Debt Stock (FGN + States),,
225,1,,Domestic Debt Stock (FGN Only),44857.85,8836995.86,,,,,,,,,,,,,,,,,,,,60.csv,,,
226,2,,Sub-Total,55576.28,10948526.57,,,,,,,,,,,,,,,,,,,,60.csv,,,
227,3,B.,,,,,,,,,,,,,,,,,,,,,,,60.csv,,,
228,4,,Domestic Debt of States*,9852.25,1655178.71,,,,,,,,,,,,,,,,,,,,60.csv,,,
229,5,C.,,,,,,,,,,,,,,,,,,,,,,,60.csv,,,
230,6,Grand-Total (A+B),65428.53,12603705.28,,,,,,,,,,,,,,,,,,,,,60.csv,Grand-Total (A+B),65428.53,12603705.28
231,0,A.,External Debt Stock (FGN + States),,1373569.83,8821.90,,,,,,,,,,,,,,,,,,,61.csv,External Debt Stock (FGN + States),,
232,1,,Domestic Debt Stock (FGN Only),,7118978.86,45722.41,,,,,,,,,,,,,,,,,,,61.csv,,,
233,2,,Sub-Total,,8492548.69,54544.31,,,,,,,,,,,,,,,,,,,61.csv,,,
234,3,B.,,,,,,,,,,,,,,,,,,,,,,,61.csv,,,
235,4,,Domestic Debt of States*,,1551650.13,9965.64,,,,,,,,,,,,,,,,,,,61.csv,,,
236,5,C.,,,,,,,,,,,,,,,,,,,,,,,61.csv,,,
237,6,Grand-Total (A+B),64509.95,,,10044198.82,,,,,,,,,,,,,,,,,,,61.csv,Grand-Total (A+B),64509.95,10044198.82
238,0,A.,External Debt Stock (FGN + States),9464.11,1864429.67,,,,,,,,,,,,,,,,,,,,62.csv,External Debt Stock (FGN + States),,
239,1,,Domestic Debt Stock (FGN Only),43185.51,8507545.47,,,,,,,,,,,,,,,,,,,,62.csv,,,
240,2,,Sub-Total,52649.62,10371975.14,,,,,,,,,,,,,,,,,,,,62.csv,,,
241,3,B.,,,,,,,,,,,,,,,,,,,,,,,62.csv,,,
242,4,,Domestic Debt of States*,10856.52,1690360.09,,,,,,,,,,,,,,,,,,,,62.csv,,,
243,5,C.,,,,,,,,,,,,,,,,,,,,,,,62.csv,,,
244,6,Grand-Total (A+B),63506.14,12062335.23,,,,,,,,,,,,,,,,,,,,,62.csv,Grand-Total (A+B),63506.14,12062335.23
